lawid	source	lawvolume	lawpage	lawnumberchapter	lawtype	lawtitle	lawapproved	laweffective	lawsovereign	lawurl	lawdescriptiondone	lawnumberchaptertext	lawsession	lawsessiontype	lawpublished	lawissue
572	359	1837-1838	582	93		To declare Wooden Bridge creek, in Bedford county, a public highway, and for other purposes	1838-04-16				f					\N
573	359	1865	472	457		To annex the real estate of Benjamin Herr, in Hampton township, Allegheny county, to M'Candless township, for school purposes	1865-03-21				f					\N
574	359	1859	194	196		To annex part of the lands of Eli Lichtenberger, in Elizabeth township, Lancaster county, to Penn township, in said county	1859-03-22				f					\N
575	359	1870	400	387		To extend the limits of the borough of Manorville, in the county of Armstrong	1870-03-11				f					\N
576	361	1840	730	25		To authorize the Directors of the Poor and of the House of Employment of the county of Northampton, to sell and convey real estate and administer oaths, and to authorize the School Directors of the borough of Easton, in said county, to fix the minimum age at which children in said borough shall be admitted into the common schools, and for other purposes	1840-04-21				f					\N
577	359	1844	528	343		A supplement to the act, entitled "An Act erecting the town of Warren, in the county of Warren, into a borough and township, and for other purposes"	1844-04-29				f					\N
578	359	1849	514	351		To alter an act, entitled "An Act to erect the town of Minersville, in the county of Schuylkill, into a borough"	1849-04-09				f					\N
579	359	1883	98	92		To provide for changing the dividing lines between adjoining boroughs, where said lines separate the property of the same owner into two or more parts	1883-06-13				f					\N
580	359	1851	457	270		To erect an independent school district out of parts of Allegheny and Beaver counties, relating to the Moyamensing Hose company, dividing Lower St. Clair township, Allegheny county, to a lock-up house in East Birmingham, to authorize the directors of House of Refuge to locate their building upon the Common ground, Allegheny city, to the Aramingo canal, to the claim of Thomas Beale, to a school district in Cambria county, and to the German Reformed congregation in Germantown	1851-04-12				f					\N
581	361	1851	741	13		For the relief of Sherman Bills, Indiana county, relating to the town of Minersville, in Schuylkill county, incorporating the borough of Shelocta, in the county of Indiana	1851-04-15				f					\N
582	358	1812-1813	150	110		Erecting part of Northumberland county into a separate county, to be called Union	1813-03-22				f					\N
583	359	1830-1831	119	75		To incorporate the town of Bloomfield, in the county of Perry, into a borough	1831-03-14				f					\N
584	359	1826-1827	210	97		To erect the town of Alexandria, in the county of Huntingdon, into a borough	1827-04-11				f					\N
585	359	2010	980	102		Amending Title 53 (Municipalities Generally) of the Pennsylvania Consolidated Statutes, further providing for consolidations and mergers	2010-10-27				f					\N
586	359	1840	573	218		To incorporate the town of Zelienople, in the county of Butler, into a borough	1840-05-29				f					\N
587	359	1846	227	187		To attach part of Blair township, in Blair county, to the Hollidaysburg borough common school district, and for other purposes	1846-04-03				f					\N
588	359	1901	224	165		To revise and amend an act, entitled "An act providing for the incorporation and government of cities of the third class," approved May twenty-third, Anno Domini one thousand eight hundred and eighty-nine, enlarging, modifying and defining the powers of cities of the third class	1901-05-16				f					\N
589	359	1974	421	149		Amending the act of April 13, 1972 (P.L. 184, No.62), entitled "An act giving municipalities the right and power to adopt home rule charters or one of several optional plans of government and to exercise the powers and authority of local self-government subject to certain restrictions and limitations; providing procedures for such adoption and defining the effect thereof," requiring the members of certain government study commissions to take oath of office; changing provisions for the nomination and election of candidates for the government study commission, for vacancies, for reports of government study commissions and for the office of treasurer or controller limiting the power and authority of municipalities adopting home rule charters and making editorial changes	1974-07-03				f					\N
590	359	1844	374	252		Changing the boundary lines of the borough of Martinsburg, in the county of Bedford	1844-04-24				f					\N
591	358	1819-1820	54	52		To incorporate the Kensington district of the Northern Liberties	1820-03-06				f					\N
592	359	1859	723	710		To incorporate the town of Middleport, Schuylkill county, into a borough	1859-04-14				f					\N
593	359	1881	118	137		A supplement to an act in regard to the boundary monuments on the line between the state of Pennsylvania and the states of Ohio and West Virginia, approved the eighteenth day of May, Anno Domini one thousand eight hundred and seventy-eight	1881-06-10				f					\N
594	359	1835-1836	749	190		To authorize suit to be brought upon the official bond of William B. Mitchell, late superintendent	1836-06-16				f					\N
595	359	1833-1834	163	98		To provide for the incorporation of boroughs	1834-04-01				f					\N
596	359	1879	132	135		A Supplement To an act in regard to the boundary monuments on the line between the state of Pennsylvania and New York, with an appropriation for expenses of same, approved May eighth, one thousand eight hundred and seventy-six, appropriating money for continuing the provisions of the said act	1879-06-11				f					\N
597	359	1872	1073	1027		To incorporate the borough of Parnassus, in the county of Westmoreland	1872-04-09				f					\N
599	359	1995	350	60		Reenacting and amending the act of May 1, 1933 (P.L. 103, No. 69), entitled "An act concerning townships of the second class; and amending, revising, consolidating, and changing the law relating thereto," adding, revising and deleting provisions relating to townships of the second class	1995-11-09				f					\N
600	359	1874	281	168		To regulate the extension of borough limits when the territory to be annexed is situate in two or more counties.	1874-06-08				f					\N
602	359	1868	1157	1085		A supplement to an act to extend the limits of the borough of Indiana, approved May twenty-second, one thousand eight hundred and sixty-seven	1868-05-01				f					\N
603	359	1857	93	106		A supplement to an act relating to counties and townships and county and township officers, approved April fifteenth, one thousand eight hundred and thirty-four.	1857-03-14				f					\N
604	359	1854	855	744		To incorporate the town of Hopewell, Chester county, into a Borough.	1853-05-02				f					\N
605	359	1866	1180	1084		Changing the name of the borough of Petersburg, in the county of Perry, to the borough of Duncannon	1865-03-23				f					\N
